dataset,model_family,seed,depth,setting,constraint,method,subgroup,valid,abstained,cost_l1,regret,route_accuracy
adult,logistic,7,3,covariate_shift,r1_all_mutable,fixed_blend,Female,0.35714285714285715,0.0,6.1976277741991295,4.656375722253173,0.14285714285714285
adult,logistic,7,3,covariate_shift,r1_all_mutable,fixed_blend,Male,0.6666666666666666,0.0,4.300334430404719,2.4172030451201594,0.13333333333333333
adult,logistic,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,Female,0.35714285714285715,0.0,6.1976277741991295,4.656375722253173,0.14285714285714285
adult,logistic,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,Male,0.6666666666666666,0.0,4.300334430404719,2.4172030451201594,0.13333333333333333
adult,logistic,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,Female,1.0,0.0,9.38603081408614,-634.6066107051829,
adult,logistic,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,Male,1.0,0.0,6.48425489652689,-328.5242075218362,
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_alpha,Female,0.07142857142857142,0.0,2.28368046903994,286.5282810199355,0.14285714285714285
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_alpha,Male,0.3333333333333333,0.0,1.580974642708676,333.11454380384555,0.13333333333333333
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router,Female,0.2857142857142857,0.0,3.117449706069022,72.81750093059821,0.5714285714285714
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router,Male,0.6666666666666666,0.0,3.927758511022384,2.0327104871474106,0.2
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,Female,0.35714285714285715,0.0,3.1673250903970356,1.4340655736140067,0.6428571428571429
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,Male,0.6666666666666666,0.0,3.927758511022384,2.0327104871474106,0.2
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,Female,0.35714285714285715,0.0,3.917499055197954,2.2468568362740347,0.5
adult,logistic,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,Male,0.6666666666666666,0.0,3.6823297951900837,1.7791757883774566,0.26666666666666666
adult,logistic,7,3,covariate_shift,r1_all_mutable,nn_positive_train,Female,1.0,0.0,7.987134906259927,-636.4495794667195,
adult,logistic,7,3,covariate_shift,r1_all_mutable,nn_positive_train,Male,1.0,0.0,5.614840235016671,-329.6315510474517,
adult,logistic,7,3,covariate_shift,r1_all_mutable,projection_only,Female,0.07142857142857142,0.0,0.8291063780167371,284.63157882161516,0.7142857142857143
adult,logistic,7,3,covariate_shift,r1_all_mutable,projection_only,Male,0.06666666666666667,0.0,0.35681701656886483,598.2352479452096,0.4
adult,logistic,7,3,covariate_shift,r1_all_mutable,rule_router,Female,0.07142857142857142,0.0,0.8291063780167371,284.63157882161516,0.7142857142857143
adult,logistic,7,3,covariate_shift,r1_all_mutable,rule_router,Male,0.06666666666666667,0.0,0.35681701656886483,598.2352479452096,0.4
adult,logistic,7,3,covariate_shift,r1_all_mutable,safe_router,Female,0.2857142857142857,0.21428571428571427,2.484462656902928,72.00567019533791,0.5714285714285714
adult,logistic,7,3,covariate_shift,r1_all_mutable,safe_router,Male,0.6666666666666666,0.2,4.026856530389715,1.7172466329225733,0.2
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router,Female,0.35714285714285715,0.0,5.83893961365609,4.2791140775686705,0.21428571428571427
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router,Male,0.6666666666666666,0.0,4.300334430404719,2.4172030451201594,0.13333333333333333
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router_guarded,Female,0.35714285714285715,0.0,5.83893961365609,4.2791140775686705,0.21428571428571427
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router_guarded,Male,0.6666666666666666,0.0,4.300334430404719,2.4172030451201594,0.13333333333333333
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router_no_geometry,Female,0.35714285714285715,0.0,5.83893961365609,4.2791140775686705,0.21428571428571427
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router_no_geometry,Male,0.6666666666666666,0.0,4.300334430404719,2.4172030451201594,0.13333333333333333
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router_no_shift,Female,0.35714285714285715,0.0,5.83893961365609,4.2791140775686705,0.21428571428571427
adult,logistic,7,3,covariate_shift,r1_all_mutable,utility_router_no_shift,Male,0.6666666666666666,0.0,4.300334430404719,2.4172030451201594,0.13333333333333333
adult,logistic,7,3,covariate_shift,r2_realistic,fixed_blend,Female,0.5555555555555556,0.0,5.999382190961558,225.84034473680362,0.0
adult,logistic,7,3,covariate_shift,r2_realistic,fixed_blend,Male,0.8,0.0,3.5576103641573047,2.1646109990200832,0.1
adult,logistic,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,Female,0.4444444444444444,0.0,5.808497137667377,336.74759219169164,0.0
adult,logistic,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,Male,0.8,0.0,3.5576103641573047,2.1646109990200832,0.1
adult,logistic,7,3,covariate_shift,r2_realistic,knn_mean_k5,Female,1.0,0.0,7.330579415749241,-217.24364002125304,
adult,logistic,7,3,covariate_shift,r2_realistic,knn_mean_k5,Male,1.0,0.0,5.039055558219852,-196.3605356987868,
adult,logistic,7,3,covariate_shift,r2_realistic,learned_alpha,Female,0.6666666666666666,0.0,2.476078990960683,111.1324157316049,0.1111111111111111
adult,logistic,7,3,covariate_shift,r2_realistic,learned_alpha,Male,0.4,0.0,1.176518833001224,399.7862128124755,0.2
adult,logistic,7,3,covariate_shift,r2_realistic,learned_router,Female,0.3333333333333333,0.0,2.111111111111111,443.93619054448004,0.5555555555555556
adult,logistic,7,3,covariate_shift,r2_realistic,learned_router,Male,0.6,0.0,1.4733512988393715,199.98111881251197,0.4
adult,logistic,7,3,covariate_shift,r2_realistic,learned_router_no_geometry,Female,0.3333333333333333,0.0,2.364670502261374,444.2108678996932,0.4444444444444444
adult,logistic,7,3,covariate_shift,r2_realistic,learned_router_no_geometry,Male,0.4,0.0,1.2287814467655163,399.71276865817396,0.4
adult,logistic,7,3,covariate_shift,r2_realistic,learned_router_no_shift,Female,0.3333333333333333,0.0,2.111111111111111,443.93619054448004,0.5555555555555556
adult,logistic,7,3,covariate_shift,r2_realistic,learned_router_no_shift,Male,0.6,0.0,1.4733512988393715,199.98111881251197,0.4
adult,logistic,7,3,covariate_shift,r2_realistic,nn_positive_train,Female,0.7777777777777778,0.0,6.226144331704651,3.828060558006005,
adult,logistic,7,3,covariate_shift,r2_realistic,nn_positive_train,Male,0.9,0.0,3.976813818876406,-97.4226723590303,
adult,logistic,7,3,covariate_shift,r2_realistic,projection_only,Female,0.3333333333333333,0.0,2.111111111111111,443.93619054448004,0.5555555555555556
adult,logistic,7,3,covariate_shift,r2_realistic,projection_only,Male,0.4,0.0,0.9,399.3568394776165,0.6
adult,logistic,7,3,covariate_shift,r2_realistic,rule_router,Female,0.3333333333333333,0.0,2.111111111111111,443.93619054448004,0.5555555555555556
adult,logistic,7,3,covariate_shift,r2_realistic,rule_router,Male,0.4,0.0,0.9,399.3568394776165,0.6
adult,logistic,7,3,covariate_shift,r2_realistic,safe_router,Female,0.3333333333333333,0.6666666666666666,2.0,-20.441121645282692,0.5555555555555556
adult,logistic,7,3,covariate_shift,r2_realistic,safe_router,Male,0.6,0.4,1.7409497534564256,-78.159262571127,0.6
adult,logistic,7,3,covariate_shift,r2_realistic,utility_router,Female,0.3333333333333333,0.0,4.971175814917712,446.96035221583037,0.1111111111111111
adult,logistic,7,3,covariate_shift,r2_realistic,utility_router,Male,0.8,0.0,2.5432641286895037,1.096484879750043,0.4
adult,logistic,7,3,covariate_shift,r2_realistic,utility_router_guarded,Female,0.5555555555555556,0.0,5.697772474121632,225.51819545006867,0.1111111111111111
adult,logistic,7,3,covariate_shift,r2_realistic,utility_router_guarded,Male,0.8,0.0,2.5432641286895037,1.096484879750043,0.4
adult,logistic,7,3,covariate_shift,r2_realistic,utility_router_no_geometry,Female,0.3333333333333333,0.0,4.715798937640587,446.69089172405313,0.2222222222222222
adult,logistic,7,3,covariate_shift,r2_realistic,utility_router_no_geometry,Male,0.6,0.0,1.4733512988393715,199.98111881251197,0.4
adult,logistic,7,3,covariate_shift,r2_realistic,utility_router_no_shift,Female,0.3333333333333333,0.0,4.971175814917712,446.96035221583037,0.1111111111111111
adult,logistic,7,3,covariate_shift,r2_realistic,utility_router_no_shift,Male,0.8,0.0,2.2718153835335704,0.8084141131403451,0.5
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend,Female,0.5,0.0,7.329817853540413,4.247962375122786,0.35714285714285715
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend,Male,0.7333333333333333,0.0,6.916759406393655,4.65319046941868,0.13333333333333333
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,Female,0.5,0.0,7.329817853540413,4.247962375122786,0.35714285714285715
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,Male,0.7333333333333333,0.0,6.916759406393655,4.65319046941868,0.13333333333333333
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,knn_mean_k5,Female,1.0,0.0,10.331487067318966,-492.5276758296204,
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,knn_mean_k5,Male,1.0,0.0,10.429361359830455,-258.0816061778232,
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,learned_alpha,Female,0.07142857142857142,0.0,2.6258507387668857,428.1948341998298,0.14285714285714285
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,learned_alpha,Male,0.4,0.0,2.7554688978597905,333.8474680000301,0.13333333333333333
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,learned_router,Female,0.42857142857142855,0.0,3.5460924260834292,71.73521600684516,0.7142857142857143
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,learned_router,Male,0.6666666666666666,0.0,5.45858356977699,69.78798446368886,0.26666666666666666
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,Female,0.42857142857142855,0.0,3.5460924260834292,71.73521600684516,0.7142857142857143
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,Male,0.6666666666666666,0.0,5.764300165541765,70.11514728644048,0.2
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,Female,0.5,0.0,5.592551488054353,2.441829288241822,0.5714285714285714
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,Male,0.7333333333333333,0.0,6.271399136426832,3.977210716043717,0.2
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,nn_positive_train,Female,1.0,0.0,9.496721678714971,-493.6278565229473,
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,nn_positive_train,Male,1.0,0.0,9.103406869668584,-259.83581084625416,
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,projection_only,Female,0.07142857142857142,0.0,0.8291063780167371,426.02116806280543,0.5714285714285714
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,projection_only,Male,0.06666666666666667,0.0,0.35681701656886483,664.3481969740013,0.3333333333333333
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,rule_router,Female,0.07142857142857142,0.0,0.8291063780167371,426.02116806280543,0.5714285714285714
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,rule_router,Male,0.06666666666666667,0.0,0.35681701656886483,664.3481969740013,0.3333333333333333
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,safe_router,Female,0.42857142857142855,0.07142857142857142,3.3200127996664337,71.39760084821465,0.7142857142857143
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,safe_router,Male,0.6666666666666666,0.13333333333333333,5.184956594575974,69.0463127167151,0.26666666666666666
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,utility_router,Female,0.5,0.0,6.777167155160691,3.6695115138609515,0.42857142857142855
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,utility_router,Male,0.7333333333333333,0.0,6.916759406393655,4.65319046941868,0.13333333333333333
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,utility_router_guarded,Female,0.5,0.0,6.777167155160691,3.6695115138609515,0.42857142857142855
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,utility_router_guarded,Male,0.7333333333333333,0.0,6.916759406393655,4.65319046941868,0.13333333333333333
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_geometry,Female,0.5,0.0,6.777167155160691,3.6695115138609515,0.42857142857142855
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_geometry,Male,0.7333333333333333,0.0,6.271399136426832,3.977210716043717,0.2
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_shift,Female,0.5,0.0,6.777167155160691,3.6695115138609515,0.42857142857142855
adult,logistic,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_shift,Male,0.7333333333333333,0.0,6.916759406393655,4.65319046941868,0.13333333333333333
adult,logistic,7,3,exemplar_mismatch,r2_realistic,fixed_blend,Female,0.8888888888888888,0.0,6.162790985908804,2.76262785112843,0.2222222222222222
adult,logistic,7,3,exemplar_mismatch,r2_realistic,fixed_blend,Male,0.8,0.0,5.494795483133454,3.9566223193897136,0.1
adult,logistic,7,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,Female,0.8888888888888888,0.0,6.162790985908804,2.76262785112843,0.2222222222222222
adult,logistic,7,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,Male,0.7,0.0,5.494795483133454,103.9553470516145,0.1
adult,logistic,7,3,exemplar_mismatch,r2_realistic,knn_mean_k5,Female,1.0,0.0,7.7557812880968084,-106.66227590524784,
adult,logistic,7,3,exemplar_mismatch,r2_realistic,knn_mean_k5,Male,1.0,0.0,6.003508180040203,-195.50093399205383,
adult,logistic,7,3,exemplar_mismatch,r2_realistic,learned_alpha,Female,0.5555555555555556,0.0,2.2527989226126426,332.07482857074484,0.3333333333333333
adult,logistic,7,3,exemplar_mismatch,r2_realistic,learned_alpha,Male,0.6,0.0,1.3017674396153924,199.58327085184365,0.2
adult,logistic,7,3,exemplar_mismatch,r2_realistic,learned_router,Female,0.4444444444444444,0.0,2.5555555555555554,443.46534651158396,0.3333333333333333
adult,logistic,7,3,exemplar_mismatch,r2_realistic,learned_router,Male,0.4,0.0,1.8014663030467517,400.0523725896628,0.3
adult,logistic,7,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,Female,0.4444444444444444,0.0,2.111111111111111,443.0042268560199,0.3333333333333333
adult,logistic,7,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,Male,0.4,0.0,1.1,399.3187601497883,0.4
adult,logistic,7,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,Female,0.4444444444444444,0.0,2.5555555555555554,443.46534651158396,0.3333333333333333
adult,logistic,7,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,Male,0.4,0.0,1.8014663030467517,400.0523725896628,0.3
adult,logistic,7,3,exemplar_mismatch,r2_realistic,nn_positive_train,Female,0.8888888888888888,0.0,6.40223983306359,2.9997219935255597,
adult,logistic,7,3,exemplar_mismatch,r2_realistic,nn_positive_train,Male,0.7,0.0,5.826393977511273,104.28647915676075,
adult,logistic,7,3,exemplar_mismatch,r2_realistic,projection_only,Female,0.4444444444444444,0.0,2.111111111111111,443.0042268560199,0.3333333333333333
adult,logistic,7,3,exemplar_mismatch,r2_realistic,projection_only,Male,0.4,0.0,0.9,399.10793388770907,0.4
adult,logistic,7,3,exemplar_mismatch,r2_realistic,rule_router,Female,0.4444444444444444,0.0,2.111111111111111,443.0042268560199,0.3333333333333333
adult,logistic,7,3,exemplar_mismatch,r2_realistic,rule_router,Male,0.4,0.0,0.9,399.10793388770907,0.4
adult,logistic,7,3,exemplar_mismatch,r2_realistic,safe_router,Female,0.4444444444444444,0.5555555555555556,2.0,56.00404108217019,0.4444444444444444
adult,logistic,7,3,exemplar_mismatch,r2_realistic,safe_router,Male,0.4,0.6,2.5,-17.283130477140453,0.4
adult,logistic,7,3,exemplar_mismatch,r2_realistic,utility_router,Female,0.4444444444444444,0.0,2.8529380022568533,443.7698915227843,0.2222222222222222
adult,logistic,7,3,exemplar_mismatch,r2_realistic,utility_router,Male,0.5,0.0,2.9745726898756333,301.3063328262712,0.1
adult,logistic,7,3,exemplar_mismatch,r2_realistic,utility_router_guarded,Female,0.8888888888888888,0.0,5.146129715405487,1.7010450054339736,0.4444444444444444
adult,logistic,7,3,exemplar_mismatch,r2_realistic,utility_router_guarded,Male,0.8,0.0,5.0947954831334545,3.5438183492738853,0.1
adult,logistic,7,3,exemplar_mismatch,r2_realistic,utility_router_no_geometry,Female,0.4444444444444444,0.0,2.5555555555555554,443.46534651158396,0.3333333333333333
adult,logistic,7,3,exemplar_mismatch,r2_realistic,utility_router_no_geometry,Male,0.5,0.0,2.9745726898756333,301.3063328262712,0.1
adult,logistic,7,3,exemplar_mismatch,r2_realistic,utility_router_no_shift,Female,0.4444444444444444,0.0,2.8529380022568533,443.7698915227843,0.2222222222222222
adult,logistic,7,3,exemplar_mismatch,r2_realistic,utility_router_no_shift,Male,0.5,0.0,2.9745726898756333,301.3063328262712,0.1
adult,logistic,7,3,in_domain,r1_all_mutable,fixed_blend,Female,0.35714285714285715,0.0,6.009037517876016,4.240373187091935,0.14285714285714285
adult,logistic,7,3,in_domain,r1_all_mutable,fixed_blend,Male,0.7333333333333333,0.0,3.7478660662132985,2.1200133255465112,0.2
adult,logistic,7,3,in_domain,r1_all_mutable,fixed_blend_no_repair,Female,0.35714285714285715,0.0,6.009037517876016,4.240373187091935,0.14285714285714285
adult,logistic,7,3,in_domain,r1_all_mutable,fixed_blend_no_repair,Male,0.7333333333333333,0.0,3.7478660662132985,2.1200133255465112,0.2
adult,logistic,7,3,in_domain,r1_all_mutable,knn_mean_k5,Female,1.0,0.0,8.74304033636829,-635.5158856269545,
adult,logistic,7,3,in_domain,r1_all_mutable,knn_mean_k5,Male,1.0,0.0,5.67987089845452,-262.4123513573588,
adult,logistic,7,3,in_domain,r1_all_mutable,learned_alpha,Female,0.07142857142857142,0.0,2.196390504643386,286.21167489160723,0.14285714285714285
adult,logistic,7,3,in_domain,r1_all_mutable,learned_alpha,Male,0.26666666666666666,0.0,1.2441576138919606,466.35796099162815,0.26666666666666666
adult,logistic,7,3,in_domain,r1_all_mutable,learned_router,Female,0.35714285714285715,0.0,3.100471508702349,1.187472954063624,0.6428571428571429
adult,logistic,7,3,in_domain,r1_all_mutable,learned_router,Male,0.6666666666666666,0.0,2.5551229348233075,67.56252971290738,0.3333333333333333
adult,logistic,7,3,in_domain,r1_all_mutable,learned_router_no_geometry,Female,0.35714285714285715,0.0,3.100471508702349,1.187472954063624,0.6428571428571429
adult,logistic,7,3,in_domain,r1_all_mutable,learned_router_no_geometry,Male,0.6666666666666666,0.0,2.5551229348233075,67.56252971290738,0.3333333333333333
adult,logistic,7,3,in_domain,r1_all_mutable,learned_router_no_shift,Female,0.35714285714285715,0.0,3.590142049341471,1.708720781063738,0.5714285714285714
adult,logistic,7,3,in_domain,r1_all_mutable,learned_router_no_shift,Male,0.7333333333333333,0.0,3.0622219057083755,1.4245931425106293,0.3333333333333333
adult,logistic,7,3,in_domain,r1_all_mutable,nn_positive_train,Female,1.0,0.0,7.7356812311624426,-636.9230134783635,
adult,logistic,7,3,in_domain,r1_all_mutable,nn_positive_train,Male,1.0,0.0,4.87821574942811,-263.44159881522694,
adult,logistic,7,3,in_domain,r1_all_mutable,projection_only,Female,0.07142857142857142,0.0,0.8291063780167371,284.4906490431241,0.7142857142857143
adult,logistic,7,3,in_domain,r1_all_mutable,projection_only,Male,0.06666666666666667,0.0,0.35681701656886483,665.2576352774561,0.3333333333333333
adult,logistic,7,3,in_domain,r1_all_mutable,rule_router,Female,0.07142857142857142,0.0,0.8291063780167371,284.4906490431241,0.7142857142857143
adult,logistic,7,3,in_domain,r1_all_mutable,rule_router,Male,0.06666666666666667,0.0,0.35681701656886483,665.2576352774561,0.3333333333333333
adult,logistic,7,3,in_domain,r1_all_mutable,safe_router,Female,0.35714285714285715,0.14285714285714285,2.752691974669126,0.7024212629622807,0.6428571428571429
adult,logistic,7,3,in_domain,r1_all_mutable,safe_router,Male,0.6666666666666666,0.06666666666666667,2.569566653096571,67.54033182557382,0.3333333333333333
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router,Female,0.35714285714285715,0.0,5.656837896217842,3.8709765435047747,0.21428571428571427
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router,Male,0.7333333333333333,0.0,3.7478660662132985,2.1200133255465112,0.2
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router_guarded,Female,0.35714285714285715,0.0,5.656837896217842,3.8709765435047747,0.21428571428571427
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router_guarded,Male,0.7333333333333333,0.0,3.7478660662132985,2.1200133255465112,0.2
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router_no_geometry,Female,0.35714285714285715,0.0,5.656837896217842,3.8709765435047747,0.21428571428571427
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router_no_geometry,Male,0.7333333333333333,0.0,3.297622727483703,1.6556438265859825,0.26666666666666666
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router_no_shift,Female,0.35714285714285715,0.0,5.656837896217842,3.8709765435047747,0.21428571428571427
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router_no_shift,Male,0.7333333333333333,0.0,3.7478660662132985,2.1200133255465112,0.2
adult,logistic,7,3,in_domain,r2_realistic,fixed_blend,Female,0.7777777777777778,0.0,5.123272168860982,2.126925918790686,0.2222222222222222
adult,logistic,7,3,in_domain,r2_realistic,fixed_blend,Male,0.7,0.0,3.229322583121237,1.9726194920103655,0.1
adult,logistic,7,3,in_domain,r2_realistic,fixed_blend_no_repair,Female,0.5555555555555556,0.0,5.158412574584393,224.3811716969034,0.2222222222222222
adult,logistic,7,3,in_domain,r2_realistic,fixed_blend_no_repair,Male,0.7,0.0,3.229322583121237,1.9726194920103655,0.1
adult,logistic,7,3,in_domain,r2_realistic,knn_mean_k5,Female,1.0,0.0,7.255642024770239,-217.8515849173672,
adult,logistic,7,3,in_domain,r2_realistic,knn_mean_k5,Male,1.0,0.0,4.8415697830847435,-296.3623104871698,
adult,logistic,7,3,in_domain,r2_realistic,learned_alpha,Female,0.5555555555555556,0.0,2.2534528646257073,221.3927584652643,0.1111111111111111
adult,logistic,7,3,in_domain,r2_realistic,learned_alpha,Male,0.4,0.0,1.2986028446941948,300.0331140399459,0.1
adult,logistic,7,3,in_domain,r2_realistic,learned_router,Female,0.4444444444444444,0.0,2.3746714567968246,332.6061339438689,0.4444444444444444
adult,logistic,7,3,in_domain,r2_realistic,learned_router,Male,0.5,0.0,1.6585891447664456,200.3784183954936,0.2
adult,logistic,7,3,in_domain,r2_realistic,learned_router_no_geometry,Female,0.4444444444444444,0.0,2.61324402862269,332.86070280814846,0.3333333333333333
adult,logistic,7,3,in_domain,r2_realistic,learned_router_no_geometry,Male,0.5,0.0,1.6585891447664456,200.3784183954936,0.2
adult,logistic,7,3,in_domain,r2_realistic,learned_router_no_shift,Female,0.4444444444444444,0.0,2.3746714567968246,332.6061339438689,0.4444444444444444
adult,logistic,7,3,in_domain,r2_realistic,learned_router_no_shift,Male,0.6,0.0,2.023308178115338,100.74849386274158,0.3
adult,logistic,7,3,in_domain,r2_realistic,nn_positive_train,Female,0.6666666666666666,0.0,5.359364914260673,113.4687009707581,
adult,logistic,7,3,in_domain,r2_realistic,nn_positive_train,Male,0.9,0.0,3.4724301108283164,-197.7869950737708,
adult,logistic,7,3,in_domain,r2_realistic,projection_only,Female,0.4444444444444444,0.0,2.111111111111111,332.32072590213716,0.6666666666666666
adult,logistic,7,3,in_domain,r2_realistic,projection_only,Male,0.4,0.0,0.9,299.5845121390907,0.5
adult,logistic,7,3,in_domain,r2_realistic,rule_router,Female,0.4444444444444444,0.0,2.111111111111111,332.32072590213716,0.6666666666666666
adult,logistic,7,3,in_domain,r2_realistic,rule_router,Male,0.4,0.0,0.9,299.5845121390907,0.5
adult,logistic,7,3,in_domain,r2_realistic,safe_router,Female,0.4444444444444444,0.5555555555555556,2.04227762626948,-54.656300844604836,0.5555555555555556
adult,logistic,7,3,in_domain,r2_realistic,safe_router,Male,0.5,0.5,1.6519359209702735,-147.5751868449911,0.5
adult,logistic,7,3,in_domain,r2_realistic,utility_router,Female,0.5555555555555556,0.0,3.7257645931312666,222.9038408997245,0.3333333333333333
adult,logistic,7,3,in_domain,r2_realistic,utility_router,Male,0.7,0.0,2.39989195383468,1.1266196364150463,0.2
adult,logistic,7,3,in_domain,r2_realistic,utility_router_guarded,Female,0.7777777777777778,0.0,4.555934755834361,1.536768352099039,0.4444444444444444
adult,logistic,7,3,in_domain,r2_realistic,utility_router_guarded,Male,0.7,0.0,2.39989195383468,1.1266196364150463,0.2
adult,logistic,7,3,in_domain,r2_realistic,utility_router_no_geometry,Female,0.4444444444444444,0.0,3.2211919691035624,333.48602618982386,0.2222222222222222
adult,logistic,7,3,in_domain,r2_realistic,utility_router_no_geometry,Male,0.5,0.0,1.8880197740530025,200.61182918226598,0.1
adult,logistic,7,3,in_domain,r2_realistic,utility_router_no_shift,Female,0.4444444444444444,0.0,3.2211919691035624,333.48602618982386,0.2222222222222222
adult,logistic,7,3,in_domain,r2_realistic,utility_router_no_shift,Male,0.7,0.0,2.170461324548123,0.893208849642685,0.3
adult,logistic,7,3,subgroup_shift,r1_all_mutable,fixed_blend,Female,0.35714285714285715,0.0,6.009037517876016,4.240373187091935,0.14285714285714285
adult,logistic,7,3,subgroup_shift,r1_all_mutable,fixed_blend_no_repair,Female,0.35714285714285715,0.0,6.009037517876016,4.240373187091935,0.14285714285714285
adult,logistic,7,3,subgroup_shift,r1_all_mutable,knn_mean_k5,Female,1.0,0.0,8.74304033636829,-635.5158856269545,
adult,logistic,7,3,subgroup_shift,r1_all_mutable,learned_alpha,Female,0.07142857142857142,0.0,2.1963905046433854,286.21167489160723,0.14285714285714285
adult,logistic,7,3,subgroup_shift,r1_all_mutable,learned_router,Female,0.35714285714285715,0.0,3.100471508702349,1.187472954063624,0.6428571428571429
adult,logistic,7,3,subgroup_shift,r1_all_mutable,learned_router_no_geometry,Female,0.35714285714285715,0.0,3.100471508702349,1.187472954063624,0.6428571428571429
adult,logistic,7,3,subgroup_shift,r1_all_mutable,learned_router_no_shift,Female,0.35714285714285715,0.0,3.590142049341471,1.708720781063738,0.5714285714285714
adult,logistic,7,3,subgroup_shift,r1_all_mutable,nn_positive_train,Female,1.0,0.0,7.7356812311624426,-636.9230134783635,
adult,logistic,7,3,subgroup_shift,r1_all_mutable,projection_only,Female,0.07142857142857142,0.0,0.8291063780167371,284.4906490431241,0.7142857142857143
adult,logistic,7,3,subgroup_shift,r1_all_mutable,rule_router,Female,0.07142857142857142,0.0,0.8291063780167371,284.4906490431241,0.7142857142857143
adult,logistic,7,3,subgroup_shift,r1_all_mutable,safe_router,Female,0.35714285714285715,0.14285714285714285,2.752691974669126,0.7024212629622807,0.6428571428571429
adult,logistic,7,3,subgroup_shift,r1_all_mutable,utility_router,Female,0.35714285714285715,0.0,5.656837896217842,3.8709765435047747,0.21428571428571427
adult,logistic,7,3,subgroup_shift,r1_all_mutable,utility_router_guarded,Female,0.35714285714285715,0.0,5.656837896217842,3.8709765435047747,0.21428571428571427
adult,logistic,7,3,subgroup_shift,r1_all_mutable,utility_router_no_geometry,Female,0.35714285714285715,0.0,5.656837896217842,3.8709765435047747,0.21428571428571427
